025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
012BOMB,UTILITY1325-ED92BOMB, GENERAL PURPOSE; MK 84 MOD 12; P/N 923AS491; CAGE 30003|A1325ED92
012BOMB,UTILITY1325-ED93BOMB, GENERAL PURPOSE; 500 Pound, BLU-111D/B; REF Number:923AS1080; CAGE: 30003|A1325ED93
012BOMB,UTILITY1325-ED94BOMB,GENERAL PURPOSE; VIPERSTRIKE D GBU44 BOMB: INERT CAPTIVE AIR TRAINING; P/N: 222K747; CAGE: 1D371|A1325ED94
012BOMB,UTILITY1325-ED95BOMB, GENERAL PURPOSE; VIPERSTRIKE E GBU44 BOMB: INERT CAPTIVE AIR TRAINING; P/N: 222K792; CAGE: 1D371|A1325ED95
013BOMB,PRACTICE1325-ED96CAGE 30003  P/N 923AS1100  Bomb, Practice, BDU-50D/B CDI, Assembly|A1325ED96
027DISPENSER AND BOMB,AIRCRAFT1325-ED97CAGE 18894  P/N 809548  Trainer  CBU-87(T-2)/B|A1325ED97
017DUMMY GUIDED BOMB1325-ED98CAGE 15090  P/N 2312425-1  SDB II GBU-53(D-2)/B|A1325ED98
019BOMB,GUIDED,UTILITY1325-ED99CAGE 15090  P/N 2312426-1  EOD Trainer SDB II  GBU-53(D-3)/B|A1325ED99
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EE01CAGE 76301  P/N 007R041600-1005  KMU-612B(D-1)/B|A1325EE01
032BOMB,SPECIAL PURPOSE,PENETRATING1325-EE02CAGE 76301  P/N 007R041260-1001  BLU-127B(D-1)/B|A1325EE02
012GUIDANCE SET1325-EE03CAGE 76301  P/N 007A041602-1003  KMU-612B/B|A1325EE03
009FUZE,BOMB1325-EE04CAGE 66126  P/N 31313000-01  FMU-169A/B|A1325EE04
009FUZE,BOMB1325-EE05CAGE 1PYT8  P/N 28084512-101  FMU-170/B|A1325EE05
017DUMMY GUIDED BOMB1325-EE06CAGE 76301  P/N 007R041160-1001  GBU-57B(D-1)/B|A1325EE06
015DUMMY FUZE,BOMB1325-EE07CAGE 76301  P/N 31313175-P1  FMU-169A(D-2)/B|A1325EE07
015DUMMY FUZE,BOMB1325-EE08CAGE 1PYT8  P/N 28084512-104  FMU-170(D-2)/B|A1325EE08
032BOMB,SPECIAL PURPOSE,PENETRATING1325-EE09cage: 76301   p/n 007a041290-1001   type designator blu-127b/b end item gbu-57b/b|A1325EE09
017FIN ASSEMBLY,BOMB1325-EE10CAGE 30003  P/N 923AS900  Fin Assembly,Bomb, BSU-33C/B|A1325EE10
015FIN,GUIDED BOMB1325-EE11CAGE 96214  P/N 837760-2  Part of MXU651/B, Airfoil Group used W/MAU-169 Series & WCU-10 Series Computer Control Groups|A1325EE11
019BOMB,GUIDED,UTILITY1325-EE12CAGE 76301  P/N 70P996301-1001  GBU-39B/B SDBI Laser Bomb,Guided,General Purpose|A1325EE12
033DETECTOR,LASER ILLUMINATED TARGET1325-EE13CAGE 76301  P/N 70P860211-1001  DSU-38A/B|A1325EE13
012GUIDANCE SET1325-EE14CAGE 76301  P/N 007A041642-1003  KMU-612C/B for the GBU-57C/B Massive Ordnance Penetrator (MOP)|A1325EE14
033DETECTOR,LASER ILLUMINATED TARGET1325-EE15CAGE 76301  P/N 70P860097-1001   Type Designator DSU-38A(D-2)/B Dummy version of the DSU-38A Laser JDAM Seeker, used for load crew training.|A1325EE15
019BOMB,GUIDED,UTILITY1325-EE16CAGE 76301  P/N 70T996310-1005   Type Designator GBU-39B(T-1)/B  Laser SDB (Guided Test Vehicle) SIMULATES GPS AND LASER GUIDANCE FOR TAGET SEEKING, DEPLOYS WINGS WHEN EJECT from the Aircraft|A1325EE16
033DETECTOR,LASER ILLUMINATED TARGET1325-EE17CAGE 76301  P/N 70P860216-1001  Type Designator DSU-40A/B|A1325EE17
033DETECTOR,LASER ILLUMINATED TARGET1325-EE18CAGE 76301  P/N 70P860215-1003  DSU-40/B|A1325EE18
012BOMB,UTILITY1325-EE19CAGE 15090  P/N 2346010-1  BLU-133/B|A1325EE19
015DUMMY FUZE,BOMB1325-EE20CAGE 70272  P/N 28084559   FMU-167(D-2)/B|A1325EE20
033DETECTOR,LASER ILLUMINATED TARGET1325-EE21CAGE 76301  P/N 70P860125-1001  DSU-40(d-2)/B Load Crew Trainer (Dummy)|A1325EE21
012GUIDANCE SET1325-EE22CAGE 76301  P/N 007A041644-1003   KMU-612D/B|A1325EE22
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EE23cage 76301  p/n 70p860122-1001 type desiginator kmu-556a(d-2)/b|A1325EE23
016ADAPTER KIT,BOMB1325-EE24CAGE 18894  P/N xebsn13003  Spacer Ring Fuze, FMU-152|A1325EE24
036SWIVEL AND LOOP ASSEMBLY,ARMING WIRE1325-EE25CAGE 18894  P/N 20134096  LANYARD KEVLAR 6.5|A1325EE25
014RING,EXPLOSIVE1325-EE26CAGE 70272  P/N 28080653  RING, LOCK FMU-167/B|A1325EE26
009FUZE,BOMB1325-EE27CAGE 70272  P/N 28087858 PACKAGED IN M548 CONTAINER. FUZE SYSTEM, FMU-167/B|A1325EE27
019INITIATOR,BOMB FUZE1325-EE28CAGE 70272  28086417 Initiator FZU-60|A1325EE28
016FUZE SYSTEM,BOMB1325-EE29CAGE 70272  P/N 28085615  FUZE SYS, FMU-167D1|A1325EE29
016FUZE SYSTEM,BOMB1325-EE30CAGE 70272  P/N 28084465   FUZE ASSM, FMU-167|A1325EE30
036SWIVEL AND LOOP ASSEMBLY,ARMING WIRE1325-EE31CAGE 70272  P/N 28085592  LANYARD ASSY|A1325EE31
033DETECTOR,LASER ILLUMINATED TARGET1325-EE32CAGE 76301  P/N 70P860128-1001   DSU-40A(D-2)/B|A1325EE32
012GUIDANCE SET1325-EE33CAGE 76301  P/N 70P871024-1001   KMU-572E/B|A1325EE33
012GUIDANCE SET1325-EE34CAGE 76301  P/N 70P871032-1001   KMU-556E/B|A1325EE34
012GUIDANCE SET1325-EE35CAGE 76301  P/N 70P871014-1001    KMU-557E/B|A1325EE35
036SWIVEL AND LOOP ASSEMBLY,ARMING WIRE1325-EE36CAGE 18894  P/N 20134095  40 inch Lanyard for airfoil groups|A1325EE36
012ADAPTER,BOMB1325-EE37CAGE 1U5F4 P/N 2014-001  goes on BSU-84A/B  on a GBU-24|A1325EE37
009FUZE,BOMB1325-EE38CAGE 18894  P/N 777543-30  CBU-89|A1325EE38
009FUZE,BOMB1325-EE39CAGE 18894  P/N 777543-10  CBU-87|A1325EE39
012GUIDANCE SET1325-EE40CAGE 76301  P/N 70P860005-1001   Type Designator KMU-559F/B|A1325EE40
012GUIDANCE SET1325-EE41CAGE 76301  P/N 70P860015-1001   Type Designator KMU-557F/B|A1325EE41
012GUIDANCE SET1325-EE42CAGE 76301  P/N 70P860033-1001   Type Desiganator KMU-556F/B|A1325EE42
012GUIDANCE SET1325-EE43CAGE 76301  P/N 70P860015-1003    Type Desiganator KMU-558F/B|A1325EE43
012GUIDANCE SET1325-EE44CAGE 76301  P/N 70P860025-1001  Type Desiganator KMU-572F/B|A1325EE44
019BOMB,GUIDED,UTILITY1325-EE45CAGE 76301 P/N 70P998130-1001   GBU39B TAC DENMARK|A1325EE45
009FUZE,BOMB1325-EE46CAGE 66126  P/N 31313000-03|A1325EE46
009FUZE,BOMB1325-EE47CAGE 70272  P/N 28088993-1001|A1325EE47
009FUZE,BOMB1325-EE48CAGE 30003  P/N 1379AS1000   Fuze,Bomb,FMU-139D/B|A1325EE48
009FUZE,BOMB1325-EE49CAGE 70272  P/N 28089507  FUZE, FSU-29/B|A1325EE49
009FUZE,BOMB1325-EE50CAGE 70272  P/N 28090474   FUZE, FIRESET MLU-64/B|A1325EE50
009FUZE,BOMB1325-EE51CAGE 66126  P/N 37260000  FUZE, FSU-28/B|A1325EE51
009FUZE,BOMB1325-EE52CAGE 66126  P/N 37261000    FUZE, MLU-65/B|A1325EE52
016BOMB,PENETRATING1325-EE53CAGE 76301  P/N 007A041292-1001  BOMB, SPECIAL PURPOSE, PENETRATING BLU-127 C/B|A1325EE53
019CONVERSION KIT,BOMB1325-EE54CAGE 15090  P/N 3140983-2  Type Designator ADG-769A/B|A1325EE54
019BOMB,GUIDED,UTILITY1325-EE55CAGE 7L855  P/N  10034021-001     Small Glide Munitions|A1325EE55
019BOMB,GUIDED,UTILITY1325-EE56CAGE 7L855  P/N  10034021-002     Small Glide Munitions|A1325EE56
019BOMB,GUIDED,UTILITY1325-EE57CAGE 7L855  P/N  10034021-003     Small Glide Munitions|A1325EE57
019BOMB,GUIDED,UTILITY1325-EE58CAGE 7L855  P/N  10034021-004     Small Glide Munitions|A1325EE58
016BOMB,PENETRATING1325-EE59CAGE 18894  P/N 2015A2K04003-10   Bomb,BLU-137B|A1325EE59
016BOMB,PENETRATING1325-EE60CAGE 18894  P/N 2015A2K04003-30     BOMB, BLU-137(D-1)B|A1325EE60
028GUIDANCE SECTION,GUIDED BOMB1325-EE61CAGE 98747  P/N 201610015     MAU-209(D-2)/B|A1325EE61
019BOMB,GUIDED,UTILITY1325-EE62CAGE 7L855  P/N 10034021-005|A1325EE62
032BOMB,SPECIAL PURPOSE,PENETRATING1325-EE63CAGE 76301  P/N 007a041293-1001  GBU-127C/B Inert|A1325EE63
012GUIDANCE SET1325-EE64CAGE 76301  P/N 007A041901-1001  KMU-612E/B  End Item is GBU-57C/B Live or Inert|A1325EE64
019INITIATOR,BOMB FUZE1325-EE65CAGE 70272  P/N 28091066 FZU-48 A/B|A1325EE65
033DETECTOR,LASER ILLUMINATED TARGET1325-EE66CAGE 76301 P/N 70P860222   DETECTOR LASER ILLUMINATED TARGET, DSU 42/B|A1325EE66
012BOMB,UTILITY1325-EE67CAGE 18894  P/N 2015A2K04004-10 BLU-137/B EMPTY BOMB ASSEMBLY|A1325EE67
012BOMB,UTILITY1325-EE68CAGE 98747  P/N 201610021-10  Bomb, Cast Ductile Iron, General Purpose, 500 Pound, BLU-134/B, Loaded NON Thermally Protected; added New NSN CAGE 18894 P/N 202024142 interchangeable 2 way|A1325EE68
012BOMB,UTILITY1325-EE69CAGE 18894  P/N 20107102-10  BLU-129/B, Warhead Case Assembly, Empty|A1325EE69
019BOMB,GUIDED,UTILITY1325-EE70AMMO EE70 CANCELLED ON 120717 CAGE 15090  P/N 2295591  Bomb, Guided, Utility, GBU-53/B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |C1325EE70
019BOMB,GUIDED,UTILITY1325-EE71CAGE 15090  P/N 2295879  Guided Bomb, Telemetry|A1325EE71
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EE72CAGE 15090  P/N 2304626   MAU-210G/B|A1325EE72
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EE73CAGE 15090  P/N 2304626-2    MAU-210F/B|A1325EE73
040GUIDANCE AND CONTROL SECTION,GUIDED BOMB1325-EE74CAGE 76301  P/N 70P860017-1001  KMU-557G/B JDAM|A1325EE74
017FIN ASSEMBLY,BOMB1325-EE75CAGE 15090 P/N 2278301-4  MXU-650M/B|A1325EE75
019BOMB,GUIDED,UTILITY1325-EE76CAGE 15090  P/N 2295591  Like Item GBU-53/B|A1325EE76
017DUMMY GUIDED BOMB1325-EE77CAGE 15090  P/N 2312425-3  Like Item GBU-53/d2|A1325EE77
036SWIVEL AND LOOP ASSEMBLY,ARMING WIRE1325-EE78CAGE 70272  P/N 28085592-102, LANYARD ASSEMBLY FMU-167/B|A1325EE78
009FUZE,BOMB1325-EE79CAGE 70272  P/N 28090644     FUZE ASSEMBLY, FMU-139D/B, W/POWER CABLE, FZU-48/B, CLOSURE RING, PACKAGE 6 PER M548 METAL CONTAINER.|A1325EE79
028GUIDANCE SECTION,GUIDED BOMB1325-EE80CAGE 94271  P/N 347100-1   MAU-209D/B|A1325EE80
015FIN,GUIDED BOMB1325-EE81CAGE 15090  P/N 2271666-6   MXU-667H/B  for GBU-48 Bomb|A1325EE81
015DUMMY FUZE,BOMB1325-EE82CAGE 66126  P/N 37264175-P1  FSU-28(D-1)/B Inert Safe and Arm Device; end item BLU-127 Inert and GBU-57E/B Inert|A1325EE82
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EE83CAGE 98747  P/N 2339026-1  MAU-210E(D-1)/B  New trainer requirement for GBU-49 on F-35 A/C|A1325EE83
015DUMMY FUZE,BOMB1325-EE84CAge 70272  P/N 28089782-101  FSU-29(D-1)/B  Inert used to build the Inert BLU-127C/B and Inert GBU-57E/B|A1325EE84
015DUMMY DETONATOR1325-EE85CAGE 70272  P/N 28089786-101   MLU-64(D-1)/B   Inert Booster that is embedded in the forward fill in the BLU-127C/B Inert Warhead if the GBU-57E/B Inert Bomb|A1325EE85
015DUMMY DETONATOR1325-EE86CAGE 66126  37261500-6    MLU-65(D-1)   Inert Booster that is Embedded in the forward fill in the BLU-127C/B Inert Warhead of the GBU-51E/B|A1325EE86
017DUMMY GUIDED BOMB1325-EE87CAGE 76301  P/N 007A041154-1003    GBU-57E(D-1) Also (D-2)/B Inert Trainer|A1325EE87
019BOMB,GUIDED,UTILITY1325-EE88CAGE 15090  P/N 2295879-1A,2A,3A, and 2295587-1A,2A,3A    GBU-53(T-1)|A1325EE88
019INITIATOR,BOMB FUZE1325-EE89CAGE 18894  P/N 20114650   Type Designator FZU-55A(D-2)/B  For FMU-152 Trainer Fuze System.|A1325EE89
012GUIDANCE SET1325-EE90CAGE 76301  P/N 70P860027-1001|A1325EE90
012GUIDANCE SET1325-EE91CAGE 76301 P/N 70P8600035-1001  GUIDANCE SET 556HB|A1325EE91
018BOMB,FRAGMENTATION1325-EE92CAGE18894 P/N 2017100-10 BLU-136B|A1325EE92
018BOMB,FRAGMENTATION1325-EE93CAGE 18894  P/N 2017100-30  Type Designator BLU-136(D-1)/B  Inert Bomb|A1325EE93
018BOMB,FRAGMENTATION1325-EE94CAGE 18894  P/N 2017150-10   Type Designator BLU-136  Empty Body Case|A1325EE94
016BOMB,PENETRATING1325-EE95CAGE 18894  P/N 243511-3   Type Designator BLU-139/B   Item will be used as Warhead for Guided Bomb Unit (GBU) system.|A1325EE95
015DUMMY FUZE,BOMB1325-EE96CAGE 70272  P/N 28093051   FSU-29(D-2)/B for GBU-57E(D-2)/B|A1325EE96
015DUMMY FUZE,BOMB1325-EE97CAGE 66126  P/N 37265175  FSU-28(D-2)/B for GBU-57E(D-2)/B|A1325EE97
015DUMMY FUZE,BOMB1325-EE98CAGE 18894  P/N 20187309  FMU-152(D-2) w/FZU-63A/B  Packaged in an M548 container|A1325EE98
016FUZE SYSTEM,BOMB1325-EE99CAGE 18894  P/N 20187300    FMU-152 W/FZU-63A/B  Packaged in an M548 Container|A1325EE99
019INITIATOR,BOMB FUZE1325-EF01CAGE 18894  P/N 20187305   FZU-63A/B for FMU-152 Fuze System  Packaged in an M548 Container|A1325EF01
033DUMMY DETECTOR,TARGET,GUIDED BOMB1325-EF02CAGE 76301  P/N 70P860138-1001   Type Designator: DSU-42 (D-2)/B|A1325EF02
017TAIL SECTION,BOMB1325-EF03AMMO EF03 CANCELLED ON 101118 CAGE 18894  P/N 2017100-50   BLU-136 Bomb Body Case                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |C1325EF03
034DUMMY GUIDANCE SECTION,GUIDED BOMB1325-EF04CAGE 76301 P/N 007A041921-1001 TYPE DESIGNATOR KMU-612E(D-2)/B TAIL SECTION ASSY|A1325EF04
010DUMMY BOMB1325-EF05CAGE 76301  P/N's 70T993330-1005, 1007, 1009       GBU-39 RAV-I|A1325EF05
012GUIDANCE SET1325-EF06CAGE 76301  P/N 70P860019-1001    KMU-557H/B|A1325EF06
034WARHEAD,GUIDED BOMB,HIGH EXPLOSIVE1325-EF07CAGE 76301 P/N 70P993245-1005 WARHEAD,GBU-39/B|A1325EF07
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EF08CAGE 15090  P/N 2349400-2     WGU-63()/B|A1325EF08
015DUMMY FUZE,BOMB1325-EF09CAGE 70272  P/N 28092757       FMU-139D(D-2)/B|A1325EF09
016FUZE SYSTEM,BOMB1325-EF10CAGE 70272  P/N 28092756      FMU-139D(D-1)/B  Weapons Integration, Inert Fuze with fully working Electronics|A1325EF10
022DUMMY FUZE SYSTEM,BOMB1325-EF11CAGE 70272  P/N 28092758    Type Designator FMU-139D(D-5)/B Cutaway|A1325EF11
019INITIATOR,BOMB FUZE1325-EF12CAGE 70272  P/N 28084139  FZU-60(D-2)/B   Dummy Initiator for the FMU-167D-2 Trainer Fuze System|A1325EF12
022HOUSING,BOMB COMPONENT1325-EF13CAGE 30003  P/N 923AS1090   EMPTY MK 82 MOD 8 500 LB GENERAL PURPOSE BOMB|A1325EF13
012BOMB,UTILITY1325-EF14CAGE 18894 P/N 20199301-10|A1325EF14
019BOMB,GUIDED,UTILITY1325-EF15CAGE 7L855  P/N 10034021-006     GBU-69A/B|A1325EF15
019BOMB,GUIDED,UTILITY1325-EF16CAGE 7L855  P/N 10034021-007     GBU-70A/B|A1325EF16
016BOMB,PENETRATING1325-EF17CAGE 18894  P/N 20199302     BLU-140/B Empty Case|A1325EF17
016BOMB,PENETRATING1325-EF18CAGE 18894  P/N 20199472-10      BLU-137A/B   ADVANCED 2000 LB PENETRATOR HYBRID FILL|A1325EF18
019CONVERSION KIT,BOMB1325-EF19CAGE 15090  P/N 3140983-3   ADG-769B/B   FMU-152 Compatible|A1325EF19
019BOMB,GUIDED,UTILITY1325-EF20CAGE 76301 P/N 70P993396-1085 CONTAINER IS REQUIRED FOR TRACKING LOCATION OF 4 x GBU-39S WITH W111 BRU-61S ATTACHED;TRACKED AS ONE COMPLETE UNIT|A1325EF20
020BOMB,GUIDED,PRACTICE1325-EF21CAGE 94271  P/N 337800G4      BDU-59C/B, LASER GUIDED TRAINING ROUND|A1325EF21
019BOMB,GUIDED,UTILITY1325-EF22CAGE 76301  P/N 70P992999-1003, 1005, 1007    GBU-39/A|A1325EF22
019BOMB,GUIDED,UTILITY1325-EF23CAGE 7L855  P/N 10034021-008    GBU-69/B|A1325EF23
020NOSE PLUG,PROJECTILE1325-EF24CAGE 18894  P/N 20199469     Plastic Nose Plug|A1325EF24
016BOMB,PENETRATING1325-EF25CAGE 18894  P/N 20187406    BLU-138|A1325EF25
022HOUSING,BOMB COMPONENT1325-EF26CAGE 18894  P/N 20187410       BLU-138/B Empty Case|A1325EF26
033DUMMY WARHEAD SECTION,GUIDED BOMB1325-EF27CAGE 18894  P/N 20187425         BLU-138 Trainer|A1325EF27
019BOMB,GUIDED,UTILITY1325-EF28CAGE 7L855  P/N 10034021-015     GBU-69/B|A1325EF28
019BOMB,GUIDED,UTILITY1325-EF29CAGE 7L855  P/N 10034021-016    GBU-70/B BLK I with TM|A1325EF29
019BOMB,GUIDED,UTILITY1325-EF30CAGE 7L855  P/N  10034021-019    CATM, SGM BLK I|A1325EF30
019BOMB,GUIDED,UTILITY1325-EF31CAGE 7L855 P/N 10034021-012    CATM, SGM BLK I|A1325EF31
019BOMB,GUIDED,UTILITY1325-EF32CAGE 7L855 P/N 10034021-010    GBU-69(D-1)/B BLK I with M and Weapons Datalink|A1325EF32
019BOMB,GUIDED,UTILITY1325-EF33CAGE 7L855 P/N 10034021-009    GBU-70/B BLK I with TM Weapons Datalink|A1325EF33
019BOMB,GUIDED,UTILITY1325-EF34CAGE 7L855 P/N 10034021-011    GBU-70(D-1)/B with TM and Weapons Datalink|A1325EF34
019BOMB,GUIDED,UTILITY1325-EF35CAGE 7L855 P/N 10034021-018    GBU-70(D-1)/B BLK I|A1325EF35
022DUMMY FUZE SYSTEM,BOMB1325-EF36CAGE 70272 P/N 28096286     INERT,FMU-139D(D-5)/B,CUTAWAY TRAINER|A1325EF36
012GUIDANCE SET1325-EF37CAGE 76301 P/N 70P860006-1001      KMU-559J/B|A1325EF37
012GUIDANCE SET1325-EF38CAGE 76301 P/N 70P860008-1001      KMU-559K/B|A1325EF38
012GUIDANCE SET1325-EF39CAGE 76301 P/N 70P860036-1001        KMU-556K/B|A1325EF39
012GUIDANCE SET1325-EF40CAGE 76301 P/N 70P860070-1001       KMU-557K/B|A1325EF40
012GUIDANCE SET1325-EF41CAGE 76301 P/N 70P860028-1001       KMU-572K/B|A1325EF41
012GUIDANCE SET1325-EF42CAGE 76301 P/N 70P860026-1001       KMU-572J/B|A1325EF42
012GUIDANCE SET1325-EF43CAGE 76301 P/N 70P860034-1001       KMU-556J/B|A1325EF43
012GUIDANCE SET1325-EF44CAGE 76301 P/N 70P860018-1001       KMU-557J/B|A1325EF44
012GUIDANCE SET1325-EF45CAGE 76301 P/N 70P860007-1001       KMU-559H/B|A1325EF45
020BOMB,GUIDED,PRACTICE1325-EF46CAGE 15090 P/N A8676770-1; A8676770-2  GBU-53(T-2)/B|A1325EF46
019BOMB,GUIDED,UTILITY1325-EF47CAGE 15090 P/N D2081302-1; D2081302-2; D2081302-3    Shipping Container, Carriage System - GBU-53/B|A1325EF47
009FUZE,BOMB1325-EF48CAGE 70272 P/N 28097772         ESAM Assy FSU-29A/B|A1325EF48
016BOMB,PENETRATING1325-EF49CAGE 76301 P/N 007A041194-1007   GBU-57F/B|A1325EF49
016BOMB,PENETRATING1325-EF50CAGE 76301 P/N 007A041292-1005   BLU-127D/B|A1325EF50
009FUZE,BOMB1325-EF51CAGE 70272 P/N 28097536-101      GBU-57D/B|A1325EF51
012GUIDANCE SET1325-EF52CAGE 76301 P/N 70P860019-1103    KMU-558H/B Type Designator JOINT DIRECT ATTACK MUNITIONS (JDAM) GUIDANCE KIT|A1325EF52
019BOMB,GUIDED,UTILITY1325-EF53CAGE 15090  P/N D1112728-2        GBU-53/B|A1325EF53
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EF54CAGE 15090 P/N 201716027-10      MAU-169L(D-2)/B|A1325EF54
012BOMB,UTILITY1325-EF55AMMO EF55 CANCELLED/REPLACED BY AMMO EE68 INC 20380, ON 120420 CAGE 18894 P/N 202024142         BLU-134A/B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |C1325EF55
019BOMB,GUIDED,UTILITY1325-EF56CAGE 76301 P/N 71p343320-1001   Tactical Vehicle - FLM, SABRY SDB|A1325EF56
019BOMB,GUIDED,UTILITY1325-EF57CAGE 76301 P/N 71P343300-1001   Tactical Vehicle Live, GBU-39 Sabry|A1325EF57
012GUIDANCE SET1325-EF58CAGE 76301 P/N 70P860071-1001    Guidance Set|A1325EF58
012GUIDANCE SET1325-EF59CAGE 76301 P/N 70P860018-1003     Guidance Set|A1325EF59
012GUIDANCE SET1325-EF60CAGE 76301 P/N 70P860070-1003      Guidance Set|A1325EF60
012GUIDANCE SET1325-EF61CAGE 76301 P/N 70P860016-1001      Guidance Set|A1325EF61
030COMPUTER,MISSILE-BOMB GUIDANCE1325-EF62CAGE 15090 P/N D2340767-1     MAU-210G(D-1)/B,NEW TRAINER REQUIREMENT FOR GBU-49|A1325EF62
029SAFETY AND ARMING DEVICE,FUZE1325-EF63CAGE 70272 P/N 310000226-101     FSU-29B/B|A1325EF63
032BOMB,SPECIAL PURPOSE,PENETRATING1325-EF64CAGE 76301 P/N 007A041292-1007   BLU-127E/B|A1325EF64
019BOMB,GUIDED,UTILITY1325-EF65CAGE 15090 P/N D1112729-6 and D1112729-7|A1325EF65
012BOMB,UTILITY1325-EF66CAGE 30003 P/N 923AS1110      BLU-117F/B,Loaded|A1325EF66
012BOMB,UTILITY1325-EF67CAGE 30003 P/N 923AS1111          BLU-117F(D-1)/B,Inert|A1325EF67
012BOMB,UTILITY1325-EF68CAGE 30003 P/N 923AS1112         MK 84 Mod 13 Empty|A1325EF68
019BOMB,GUIDED,UTILITY1325-EF69CAGE 7L855 P/N 10034021-101     GBU-69/B|A1325EF69
019BOMB,GUIDED,UTILITY1325-EF70CAGE 7L855 P/N 10034021-102     GBU-70/B|A1325EF70
019BOMB,GUIDED,UTILITY1325-EF71CAGE 7L855 P/N 10034021-104     GBU-70(D-1)|A1325EF71
019BOMB,GUIDED,UTILITY1325-EF72CAGE 7L855 P/N 1325-EF72        GBU-69/B|A1325EF72
019BOMB,GUIDED,UTILITY1325-EF73CAGE 76301 P/N 71T343330-1003   1325-EF73|A1325EF73
019BOMB,GUIDED,UTILITY1325-EF74CAGE 76301 P/N 71T343330-1001|A1325EF74
019CONVERSION KIT,BOMB1325-EF75CAGE 76301 P/N 70P860214-1001    KMU-794/B Adapter Kit for 500LB Bomb using the DSU-43 Sensor|A1325EF75
